Division;Union;Mission / Conference
East-Central Africa Division (ECD);Burundi Union Mission;East Burundi Field
East-Central Africa Division (ECD);Burundi Union Mission;Mabayi Field
East-Central Africa Division (ECD);Burundi Union Mission;North Burundi Field
East-Central Africa Division (ECD);Burundi Union Mission;North-West Burundi Field
East-Central Africa Division (ECD);Burundi Union Mission;South-West Burundi Field
East-Central Africa Division (ECD);East Congo Union Mission;East Kasai Field
East-Central Africa Division (ECD);East Congo Union Mission;East Katanga Mission
East-Central Africa Division (ECD);East Congo Union Mission;North Katanga Field
East-Central Africa Division (ECD);East Congo Union Mission;South Katanga Field
East-Central Africa Division (ECD);East Congo Union Mission;West Katanga Field
East-Central Africa Division (ECD);East Kenya Union Conference;Central Kenya Conference
East-Central Africa Division (ECD);East Kenya Union Conference;Central Rift Valley Conference
East-Central Africa Division (ECD);East Kenya Union Conference;East Nairobi Field
East-Central Africa Division (ECD);East Kenya Union Conference;Kenya Coast Field
East-Central Africa Division (ECD);East Kenya Union Conference;North East Kenya Field
East-Central Africa Division (ECD);East Kenya Union Conference;Nyamira Conference
East-Central Africa Division (ECD);East Kenya Union Conference;Nyamira West Field
East-Central Africa Division (ECD);East Kenya Union Conference;South Kenya Conference
East-Central Africa Division (ECD);East Kenya Union Conference;South Nairobi Kajiado Field
East-Central Africa Division (ECD);East Kenya Union Conference;South Rift Valley Field
East-Central Africa Division (ECD);East Kenya Union Conference;South-East Kenya Field
East-Central Africa Division (ECD);Eastern Ethiopia Union Mission;Central Ethiopia Field
East-Central Africa Division (ECD);Eastern Ethiopia Union Mission;North Ethiopia Field
East-Central Africa Division (ECD);Eastern Ethiopia Union Mission;Northwest Ethiopia Field
East-Central Africa Division (ECD);Eastern Ethiopia Union Mission;South Central Ethiopia Field
East-Central Africa Division (ECD);Eastern Ethiopia Union Mission;South East Ethiopia Field
East-Central Africa Division (ECD);North East Congo Union Mission;Central Kivu Field
East-Central Africa Division (ECD);North East Congo Union Mission;Kibali Ituri Mission
East-Central Africa Division (ECD);North East Congo Union Mission;Maniema Mission
East-Central Africa Division (ECD);North East Congo Union Mission;North Kivu Field
East-Central Africa Division (ECD);North East Congo Union Mission;South Kivu Field
East-Central Africa Division (ECD);North East Congo Union Mission;Upper Congo Field
East-Central Africa Division (ECD);Northern Tanzania Union Conference;Mara Conference
East-Central Africa Division (ECD);Northern Tanzania Union Conference;North Mara Field
East-Central Africa Division (ECD);Northern Tanzania Union Conference;North-East Tanzania Conference
East-Central Africa Division (ECD);Northern Tanzania Union Conference;North-West Tanzania Field
East-Central Africa Division (ECD);Northern Tanzania Union Conference;Nyanza Gold Belt Field
East-Central Africa Division (ECD);Northern Tanzania Union Conference;Simiyu River Field
East-Central Africa Division (ECD);Northern Tanzania Union Conference;South Nyanza Conference
East-Central Africa Division (ECD);Northern Tanzania Union Conference;Tanzania Rift Valley Field
East-Central Africa Division (ECD);Northern Tanzania Union Conference;Western Tanzania Conference
East-Central Africa Division (ECD);Rwanda Union Mission;Central Rwanda Field
East-Central Africa Division (ECD);Rwanda Union Mission;East Central Rwanda Field
East-Central Africa Division (ECD);Rwanda Union Mission;North Rwanda Field
East-Central Africa Division (ECD);Rwanda Union Mission;North-East Rwanda Field
East-Central Africa Division (ECD);Rwanda Union Mission;North-West Rwanda Field
East-Central Africa Division (ECD);Rwanda Union Mission;South Rwanda Field
East-Central Africa Division (ECD);Rwanda Union Mission;South-East Rwanda Field
East-Central Africa Division (ECD);Rwanda Union Mission;West Rwanda Field
East-Central Africa Division (ECD);South Sudan Union Mission;Eastern Upper Nile Field
East-Central Africa Division (ECD);South Sudan Union Mission;Greater Bahr el Ghazal Field
East-Central Africa Division (ECD);South Sudan Union Mission;Greater Equatoria Field
East-Central Africa Division (ECD);South Sudan Union Mission;North-Central Nile Field
East-Central Africa Division (ECD);Southern Tanzania Union Mission;Central Tanzania Field
East-Central Africa Division (ECD);Southern Tanzania Union Mission;East Tanzania Conference
East-Central Africa Division (ECD);Southern Tanzania Union Mission;East-Coastal Tanzania Field
East-Central Africa Division (ECD);Southern Tanzania Union Mission;Lake Tanganyika Field
East-Central Africa Division (ECD);Southern Tanzania Union Mission;South-East Tanzania Conference
East-Central Africa Division (ECD);Southern Tanzania Union Mission;Southern Highlands Conference
East-Central Africa Division (ECD);Southern Tanzania Union Mission;Zanzibar Field Station
East-Central Africa Division (ECD);Uganda Union Mission;Busoga Field
East-Central Africa Division (ECD);Uganda Union Mission;Central Uganda Conference
East-Central Africa Division (ECD);Uganda Union Mission;East Buganda Field
East-Central Africa Division (ECD);Uganda Union Mission;Mid-Eastern Uganda Field
East-Central Africa Division (ECD);Uganda Union Mission;Mid-Western Uganda Field
East-Central Africa Division (ECD);Uganda Union Mission;Mount Elgon Field
East-Central Africa Division (ECD);Uganda Union Mission;North Buganda Field
East-Central Africa Division (ECD);Uganda Union Mission;Northern Uganda Field
East-Central Africa Division (ECD);Uganda Union Mission;Rwenzori Field
East-Central Africa Division (ECD);Uganda Union Mission;Southwestern Uganda Field
East-Central Africa Division (ECD);Uganda Union Mission;West Buganda Field
East-Central Africa Division (ECD);Uganda Union Mission;Western Uganda Field
East-Central Africa Division (ECD);West Congo Union Mission;Central Kasai Field
East-Central Africa Division (ECD);West Congo Union Mission;Congo Equatorial Field
East-Central Africa Division (ECD);West Congo Union Mission;Lower Congo Field
East-Central Africa Division (ECD);West Congo Union Mission;West Congo Field
East-Central Africa Division (ECD);West Congo Union Mission;West Kasai Field
East-Central Africa Division (ECD);West Kenya Union Conference;Central Nyanza Conference
East-Central Africa Division (ECD);West Kenya Union Conference;Greater Rift Valley Conference
East-Central Africa Division (ECD);West Kenya Union Conference;Kenya Lake Conference
East-Central Africa Division (ECD);West Kenya Union Conference;Lake Victoria Field
East-Central Africa Division (ECD);West Kenya Union Conference;North Rift Valley Field
East-Central Africa Division (ECD);West Kenya Union Conference;Ranen Conference
East-Central Africa Division (ECD);West Kenya Union Conference;South East Nyanza Field
East-Central Africa Division (ECD);West Kenya Union Conference;South West Nyanza Field
East-Central Africa Division (ECD);West Kenya Union Conference;Southern Kenya Lake Field
East-Central Africa Division (ECD);West Kenya Union Conference;West Rift Valley Field
East-Central Africa Division (ECD);West Kenya Union Conference;Western Kenya Conference
East-Central Africa Division (ECD);Western Ethiopia Union Mission;Gambella Field
East-Central Africa Division (ECD);Western Ethiopia Union Mission;Kellem Ethiopia Field
East-Central Africa Division (ECD);Western Ethiopia Union Mission;South West Ethiopia Field
East-Central Africa Division (ECD);Western Ethiopia Union Mission;West Central Ethiopia Field
East-Central Africa Division (ECD);Western Ethiopia Union Mission;West Ethiopia Conference
East-Central Africa Division (ECD);Attached Fields (GC Direct);Eritrea Mission Field
East-Central Africa Division (ECD);Attached Fields (GC Direct);Sudan Field
Euro-Asia Division (ESD);Belarusian Union of Churches Conference;Belarusian Conference
Euro-Asia Division (ESD);Caucasus Union Mission;Crimea Mission
Euro-Asia Division (ESD);Caucasus Union Mission;Kubano-Chernomorskaya Conference
Euro-Asia Division (ESD);Caucasus Union Mission;North Caucasus Conference
Euro-Asia Division (ESD);Caucasus Union Mission;Rostov-Kalmykia Conference
Euro-Asia Division (ESD);East Russian Union Mission;Central Siberian Mission
Euro-Asia Division (ESD);East Russian Union Mission;East Siberian Mission
Euro-Asia Division (ESD);East Russian Union Mission;Krasnoyarsk Conference
Euro-Asia Division (ESD);East Russian Union Mission;West Siberian Mission
Euro-Asia Division (ESD);Far Eastern Union of Churches Mission;Far Eastern Mission
Euro-Asia Division (ESD);Southern Union Mission;Almaty Mission
Euro-Asia Division (ESD);Southern Union Mission;Kyrgyzstan Mission
Euro-Asia Division (ESD);Southern Union Mission;Northern Kazakhstan Mission
Euro-Asia Division (ESD);Southern Union Mission;Southern Kazakhstan Mission
Euro-Asia Division (ESD);Southern Union Mission;Tajikistan Mission
Euro-Asia Division (ESD);Southern Union Mission;Turkmenistan Field
Euro-Asia Division (ESD);Southern Union Mission;Uzbekistan Mission
Euro-Asia Division (ESD);West Russian Union Conference;Central Conference
Euro-Asia Division (ESD);West Russian Union Conference;Moscow City Conference
Euro-Asia Division (ESD);West Russian Union Conference;Northwestern Conference
Euro-Asia Division (ESD);West Russian Union Conference;Southern Conference
Euro-Asia Division (ESD);West Russian Union Conference;Ural Conference
Euro-Asia Division (ESD);West Russian Union Conference;Volga Conference
